video_path,label
FaceForensics\original_sequences\youtube\c23\videos\051.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\052.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\053.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\054.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\055.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\056.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\057.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\058.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\059.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\060.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\061.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\062.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\063.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\064.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\065.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\066.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\067.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\068.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\069.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\070.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\071.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\072.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\073.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\074.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\075.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\076.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\077.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\078.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\079.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\080.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\081.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\082.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\083.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\084.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\085.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\086.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\087.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\088.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\089.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\090.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\091.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\092.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\093.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\094.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\095.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\096.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\097.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\098.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\099.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\100.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\101.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\102.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\103.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\104.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\105.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\106.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\107.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\108.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\109.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\110.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\111.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\112.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\113.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\114.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\115.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\116.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\117.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\118.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\119.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\120.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\121.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\122.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\123.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\124.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\125.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\126.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\127.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\128.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\129.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\130.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\131.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\132.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\133.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\134.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\135.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\136.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\137.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\138.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\139.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\140.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\141.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\142.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\143.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\144.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\145.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\146.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\147.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\148.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\149.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\150.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\151.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\152.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\153.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\154.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\155.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\156.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\157.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\158.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\159.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\160.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\161.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\162.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\163.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\164.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\165.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\166.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\167.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\168.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\169.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\170.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\171.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\172.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\173.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\174.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\175.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\176.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\177.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\178.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\179.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\180.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\181.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\182.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\183.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\184.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\185.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\186.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\187.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\188.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\189.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\190.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\191.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\192.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\193.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\194.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\195.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\196.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\197.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\198.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\199.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\200.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\201.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\202.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\203.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\204.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\205.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\206.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\207.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\208.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\209.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\210.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\211.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\212.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\213.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\214.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\215.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\216.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\217.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\218.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\219.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\220.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\221.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\222.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\223.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\224.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\225.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\226.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\227.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\228.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\229.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\230.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\231.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\232.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\233.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\234.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\235.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\236.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\237.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\238.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\239.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\240.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\241.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\242.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\243.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\244.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\245.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\246.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\247.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\248.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\249.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\250.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\251.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\252.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\253.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\254.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\255.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\256.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\257.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\258.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\259.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\260.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\261.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\262.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\263.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\264.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\265.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\266.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\267.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\268.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\269.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\270.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\271.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\272.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\273.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\274.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\275.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\276.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\277.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\278.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\279.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\280.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\281.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\282.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\283.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\284.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\285.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\286.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\287.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\288.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\289.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\290.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\291.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\292.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\293.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\294.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\295.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\296.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\297.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\298.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\299.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\300.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\301.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\302.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\303.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\304.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\305.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\306.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\307.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\308.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\309.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\310.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\311.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\312.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\313.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\314.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\315.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\316.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\317.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\318.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\319.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\320.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\321.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\322.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\323.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\324.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\325.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\326.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\327.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\328.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\329.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\330.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\331.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\332.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\333.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\334.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\335.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\336.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\337.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\338.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\339.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\340.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\341.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\342.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\343.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\344.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\345.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\346.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\347.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\348.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\349.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\350.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\351.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\352.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\353.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\354.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\355.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\356.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\357.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\358.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\359.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\360.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\361.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\362.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\363.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\364.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\365.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\366.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\367.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\368.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\369.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\370.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\371.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\372.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\373.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\374.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\375.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\376.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\377.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\378.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\379.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\380.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\381.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\382.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\383.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\384.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\385.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\386.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\387.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\388.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\389.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\390.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\391.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\392.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\396.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\397.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\399.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\410.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\411.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\416.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\420.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\425.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\430.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\434.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\435.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\437.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\438.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\439.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\441.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\446.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\448.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\452.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\456.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\459.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\465.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\468.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\469.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\470.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\475.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\478.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\479.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\480.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\481.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\482.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\485.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\488.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\490.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\506.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\516.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\520.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\522.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\529.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\534.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\536.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\540.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\542.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\543.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\545.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\550.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\553.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\554.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\555.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\556.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\558.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\559.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\564.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\565.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\568.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\572.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\583.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\584.mp4,0
FaceForensics\original_sequences\youtube\c23\videos\585.mp4,0
